Purpose,Quarter,Trips
Business,1998-01-01,3598.6313712
Business,1998-04-01,3723.6601587
Business,1998-07-01,4356.4536838
Business,1998-10-01,3795.5385736
Business,1999-01-01,3334.5537613
Business,1999-04-01,4714.2385843
Business,1999-07-01,4190.0084015
Business,1999-10-01,3701.1839295
Business,2000-01-01,3562.245946
Business,2000-04-01,4017.7627024
Business,2000-07-01,4275.9732112
Business,2000-10-01,4469.002349
Business,2001-01-01,3726.4260266
Business,2001-04-01,3912.7753906
Business,2001-07-01,4385.0716386
Business,2001-10-01,4299.2010662
Business,2002-01-01,3429.075903
Business,2002-04-01,4296.740381
Business,2002-07-01,4639.6378662
Business,2002-10-01,4171.4943821
Business,2003-01-01,3426.9660747
Business,2003-04-01,3938.7646966
Business,2003-07-01,4165.7379409
Business,2003-10-01,3737.1904449
Business,2004-01-01,3283.3635163
Business,2004-04-01,3987.1471045
Business,2004-07-01,4457.2793589
Business,2004-10-01,3734.1807934
Business,2005-01-01,2885.8307408
Business,2005-04-01,3536.3146697
Business,2005-07-01,4084.6500313
Business,2005-10-01,3813.5499492
Business,2006-01-01,2972.7817880000002
Business,2006-04-01,3758.4514249999997
Business,2006-07-01,4093.3520040000003
Business,2006-10-01,3624.070096
Business,2007-01-01,3137.2351566
Business,2007-04-01,4220.784369
Business,2007-07-01,4191.9858876
Business,2007-10-01,3805.1157666
Business,2008-01-01,3150.6005393
Business,2008-04-01,3751.8766033
Business,2008-07-01,3862.0507362
Business,2008-10-01,3719.9162486
Business,2009-01-01,2806.9568077999998
Business,2009-04-01,3194.9762038
Business,2009-07-01,3587.2925467
Business,2009-10-01,3590.6395005
Business,2010-01-01,2845.8401734
Business,2010-04-01,3360.7188566
Business,2010-07-01,4024.5578182
Business,2010-10-01,3677.0798245
Business,2011-01-01,2914.5116005
Business,2011-04-01,3934.6504383
Business,2011-07-01,4753.7427691
Business,2011-10-01,3621.1434071
Business,2012-01-01,3216.8211289
Business,2012-04-01,3745.5968455
Business,2012-07-01,4090.8314754
Business,2012-10-01,3824.9096626
Business,2013-01-01,3098.774022
Business,2013-04-01,4036.0018399
Business,2013-07-01,4095.75375
Business,2013-10-01,3704.2009426
Business,2014-01-01,3916.8982622
Business,2014-04-01,4504.929029
Business,2014-07-01,4726.3664013
Business,2014-10-01,5174.0019785
Business,2015-01-01,3976.8863608
Business,2015-04-01,4908.6000165
Business,2015-07-01,5092.9866655
Business,2015-10-01,5252.0048793
Business,2016-01-01,4375.7708479
Business,2016-04-01,5137.9411605000005
Business,2016-07-01,5146.8802054
Business,2016-10-01,5441.7354014
Business,2017-01-01,4787.8922384
Business,2017-04-01,5825.2402101
Business,2017-07-01,6305.3472807
Business,2017-10-01,5377.9774199
Holiday,1998-01-01,11806.0376221
Holiday,1998-04-01,9275.6620744
Holiday,1998-07-01,8642.4885898
Holiday,1998-10-01,9299.5237806
Holiday,1999-01-01,11172.0270564
Holiday,1999-04-01,9607.6131866
Holiday,1999-07-01,8913.8865198
Holiday,1999-10-01,9025.6883618
Holiday,2000-01-01,11070.865789
Holiday,2000-04-01,9196.2623222
Holiday,2000-07-01,9347.5058064
Holiday,2000-10-01,8984.0142166
Holiday,2001-01-01,10672.3143049
Holiday,2001-04-01,9533.4921444
Holiday,2001-07-01,8807.1590872
Holiday,2001-10-01,8976.9448476
Holiday,2002-01-01,10842.6194436
Holiday,2002-04-01,9232.7454264
Holiday,2002-07-01,8836.2141348
Holiday,2002-10-01,9247.5412624
Holiday,2003-01-01,10501.5589713
Holiday,2003-04-01,9093.529881
Holiday,2003-07-01,8840.5427455
Holiday,2003-10-01,8841.260634
Holiday,2004-01-01,10701.459552799999
Holiday,2004-04-01,9211.2662672
Holiday,2004-07-01,8924.440703
Holiday,2004-10-01,8378.5842486
Holiday,2005-01-01,10928.9846578
Holiday,2005-04-01,8066.2598025
Holiday,2005-07-01,8100.4925165
Holiday,2005-10-01,7737.0418716
Holiday,2006-01-01,11219.247032
Holiday,2006-04-01,9274.046516
Holiday,2006-07-01,7796.211345
Holiday,2006-10-01,8928.402894
Holiday,2007-01-01,10910.3053791
Holiday,2007-04-01,9356.4126837
Holiday,2007-07-01,8617.4603827
Holiday,2007-10-01,8716.3509357
Holiday,2008-01-01,11951.4914676
Holiday,2008-04-01,8499.4602312
Holiday,2008-07-01,8482.2356138
Holiday,2008-10-01,8391.1066982
Holiday,2009-01-01,10131.9747752
Holiday,2009-04-01,8400.4153108
Holiday,2009-07-01,8690.3039877
Holiday,2009-10-01,8262.3477397
Holiday,2010-01-01,10157.0168073
Holiday,2010-04-01,8733.9279789
Holiday,2010-07-01,8606.5129202
Holiday,2010-10-01,8504.6833331
Holiday,2011-01-01,9846.4424493
